full_name,country,country_code,longitude,latitude
"Tulsa, OK",United States,US,-96.0656278,35.968624
"Ashwaubenon, WI",United States,US,-88.151014,44.445096
"Archbald, PA",United States,US,-75.592151,41.479945
"Polson, MT",United States,US,-114.1838,47.674362
"Pontevedra, Spain",Spain,ES,-8.6984109,42.3430948
"Washington, USA",United States,US,-124.848975,45.543542
"Portland, OR",United States,US,-122.7900653,45.421863
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
Canada,Canada,CA,-141.5610942,41.676329
"Lacey, WA",United States,US,-122.839662,46.9594626
"Saskatoon, Saskatchewan",Canada,CA,-106.8249536,52.069634
"Belleville, IL",United States,US,-90.099191,38.4682
"Illinois, USA",United States,US,-91.51308,36.970298
"Florida, USA",United States,US,-87.634643,24.396308
"Minneapolis, MN",United States,US,-93.329515,44.889964
"Regina, Saskatchewan",Canada,CA,-104.778398,50.39659
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"McMillan Island 6, British Columbia",Canada,CA,-122.579692,49.168705
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Toppenish, WA",United States,US,-120.346421,46.356486
Whyte Avenue,Canada,CA,-113.50074401170627,53.51808282613383
"Kingston, Ontario",Canada,CA,-76.712759,44.16054
"Portland, OR",United States,US,-122.7900653,45.421863
"Ashwaubenon, WI",United States,US,-88.151014,44.445096
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Fresno, CA",United States,US,-119.93251,36.648905
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Toppenish, WA",United States,US,-120.346421,46.356486
"South Dakota, USA",United States,US,-104.05774,42.479636
"Kansas, USA",United States,US,-102.051769,36.9931101
"Green Bay, WI",United States,US,-88.139804,44.47174
"Milwaukee, WI",United States,US,-88.070827,42.920822
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Sucker Creek 150A, Alberta",Canada,CA,-116.257737,55.390121
"Wood Buffalo, Alberta",Canada,CA,-114.001159,55.329481
"Banff, Alberta",Canada,CA,-115.5921699,51.160871
"Muskeg Lake Cree Nation 102, Saskatchewan",Canada,CA,-106.952918,52.933855
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Sunnyvale, CA",United States,US,-122.065206,37.3300682
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Lee Acres, NM",United States,US,-108.152231,36.687695
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Arlington, VA",United States,US,-77.172219,38.827378
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Toppenish, WA",United States,US,-120.346421,46.356486
"Chicago, IL",United States,US,-87.940033,41.644102
"Memphis, TN",United States,US,-90.135782,34.994192
"Washington, DC",United States,US,-77.119401,38.801826
"Seattle, WA",United States,US,-122.436232,47.4953154
"Flagstaff, AZ",United States,US,-111.710027,35.122005
"Bozeman, MT",United States,US,-111.185677,45.625349
"Tuscaloosa, AL",United States,US,-87.626729,33.098411
"Newmarket, Ontario",Canada,CA,-79.509317,44.016826
"Oklahoma City, OK",United States,US,-97.768683,35.290722
"Annapolis, Subd. A, Nova Scotia",Canada,CA,-66.0000385,44.55513
"Washington, USA",United States,US,-124.848975,45.543542
"Sydney, New South Wales",Australia,AU,150.520928608,-34.1183470085
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Boise, ID",United States,US,-116.374494,43.510172
"Scotchfort 4, Prince Edward Island",Canada,CA,-62.9162025,46.3486982
"Tuscaloosa, AL",United States,US,-87.626729,33.098411
"Truro, Nova Scotia",Canada,CA,-63.308662,45.308031
"Toppenish, WA",United States,US,-120.346421,46.356486
"Colorado, USA",United States,US,-109.060257,36.992427
"Dubai, United Arab Emirates",United Arab Emirates,AE,54.8939725,24.6182526
"Washington, USA",United States,US,-124.848975,45.543542
"Vancouver, British Columbia",Canada,CA,-123.224215,49.19854
"Terrace, British Columbia",Canada,CA,-128.6647743,54.4253719
"Bellingham, WA",United States,US,-122.546166,48.689345
"St. John's, Newfoundland and Labrador",Canada,CA,-53.039678,47.330824
"London, Ontario",Canada,CA,-81.391247,42.824496
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Lino Lakes, MN",United States,US,-93.143239,45.123812
"Kamloops, British Columbia",Canada,CA,-120.5412915,50.6172419
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Corman Park No. 344, Saskatchewan",Canada,CA,-107.299568,51.9688189
"Toppenish, WA",United States,US,-120.346421,46.356486
"Nanaimo, British Columbia",Canada,CA,-124.064698,49.097301
"Saskatoon, Saskatchewan",Canada,CA,-106.8249536,52.069634
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Lac-Beauport, Québec",Canada,CA,-71.3635178,46.931344
"St. John's, Newfoundland and Labrador",Canada,CA,-53.039678,47.330824
"Vancouver, British Columbia",Canada,CA,-123.224215,49.19854
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
"New Westminster, British Columbia",Canada,CA,-122.9599826,49.175445
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"New York, USA",United States,US,-79.76259,40.477383
"Curve Lake First Nation 35, Ontario",Canada,CA,-78.380703,44.450444
"Cambridge, Ontario",Canada,CA,-80.413946,43.332161
"Fort Smith, Northwest Territories",Canada,CA,-112.2532789,59.99862
"Dallas, TX",United States,US,-96.977527,32.620678
"Saint John, New Brunswick",Canada,CA,-66.240899,44.863279
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Vancouver, British Columbia",Canada,CA,-123.224215,49.19854
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
"Colchester, England",United Kingdom,GB,0.845165,51.853339
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Guelph, Ontario",Canada,CA,-80.326879,43.473802
"London, Ontario",Canada,CA,-81.391247,42.824496
"Canmore, Alberta",Canada,CA,-115.432715,50.999886
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Wisconsin, USA",United States,US,-92.889433,42.491921
"Tay Valley, Ontario",Canada,CA,-76.608568,44.706596
"Richmond, British Columbia",Canada,CA,-123.304549,49.08609
"Santa Paula, CA",United States,US,-119.097335,34.33027
"Saskatoon, Saskatchewan",Canada,CA,-106.8249536,52.069634
"New Credit (Part) 40A, Ontario",Canada,CA,-80.134832,42.972741
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"New Westminster, British Columbia",Canada,CA,-122.9599826,49.175445
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Lanark Highlands, Ontario",Canada,CA,-76.770126,44.857749
"Seattle, WA",United States,US,-122.436232,47.4953154
"New Orleans, LA",United States,US,-90.137908,29.889574
"Burton, New Brunswick",Canada,CA,-66.555623,45.717129
"Manhattan, NY",United States,US,-74.026675,40.683935
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Moorhead, MN",United States,US,-96.79398,46.818321
"North Decatur, GA",United States,US,-84.3100508,33.776522
"Thompson-Nicola B (Thompson Headwaters), British Columbia",Canada,CA,-119.769058,51.483034
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Toppenish, WA",United States,US,-120.346421,46.356486
"Tay Valley, Ontario",Canada,CA,-76.608568,44.706596
"Bothell, WA",United States,US,-122.248238,47.7324384
"Washington, USA",United States,US,-124.848975,45.543542
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Milwaukee, WI",United States,US,-88.070827,42.920822
"Riverview, New Brunswick",Canada,CA,-64.8915503,46.023277
"Lanark Highlands, Ontario",Canada,CA,-76.770126,44.857749
"Nisga'a, British Columbia",Canada,CA,-130.009818,54.81754
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
City Hall,Canada,CA,-66.64306640625,45.96335200851067
"Fredericton, New Brunswick",Canada,CA,-66.783402,45.868781
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
"Hamilton, Ontario",Canada,CA,-80.248423,43.050553
"Canmore, Alberta",Canada,CA,-115.432715,50.999886
Saskatchewan Legislature,Canada,CA,-104.61537618351048,50.43311296997018
"Regina, Saskatchewan",Canada,CA,-104.778398,50.39659
"Carleton Place, Ontario",Canada,CA,-76.166505,45.120803
"Charlottetown, Prince Edward Island",Canada,CA,-63.196592,46.217197
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Clinton, UT",United States,US,-112.094327,41.118101
"Milwaukee, WI",United States,US,-88.070827,42.920822
"Woods Cross, UT",United States,US,-111.9434561,40.861178
"Nantes, France",France,FR,-1.6424356,47.1805441
"Virginia, USA",United States,US,-83.67529,36.540739
"Douglas, New Brunswick",Canada,CA,-67.250476,45.967019
"Vernon, British Columbia",Canada,CA,-119.4538212,50.150997
"Melbourne, Victoria",Australia,AU,144.593741856,-38.433859306
"Toppenish, WA",United States,US,-120.346421,46.356486
"Coquitlam, British Columbia",Canada,CA,-122.893434,49.219352
"Central Saanich, British Columbia",Canada,CA,-123.484088,48.550064
"Marble Canyon 3, British Columbia",Canada,CA,-121.682136,50.810809
Canada,Canada,CA,-141.5610942,41.676329
"Orillia, Ontario",Canada,CA,-79.4757149,44.451875
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Regina, Saskatchewan",Canada,CA,-104.778398,50.39659
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Wood Buffalo, Alberta",Canada,CA,-114.001159,55.329481
"Sherwood No. 159, Saskatchewan",Canada,CA,-104.8931652,50.3094064
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Terrace, British Columbia",Canada,CA,-128.6647743,54.4253719
"Milwaukee, WI",United States,US,-88.070827,42.920822
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Toppenish, WA",United States,US,-120.346421,46.356486
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
"St. John's, Newfoundland and Labrador",Canada,CA,-53.039678,47.330824
"Couchiching 16A, Ontario",Canada,CA,-93.484165,48.6314132
"Washington, DC",United States,US,-77.119401,38.801826
"Thompson-Nicola J (Copper Desert Country), British Columbia",Canada,CA,-121.073186,50.385447
"South Dakota, USA",United States,US,-104.05774,42.479636
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Hamilton, Ontario",Canada,CA,-80.248423,43.050553
"Pembroke, NC",United States,US,-79.216367,34.654347
"Milwaukee, WI",United States,US,-88.070827,42.920822
"Burnaby, British Columbia",Canada,CA,-123.024209,49.180153
"Lacey, WA",United States,US,-122.839662,46.9594626
Maffeo Sutton Park,Canada,CA,-123.93875003109366,49.17115645146569
"Georgetown, SC",United States,US,-79.349456,33.2919949
"Riverview, New Brunswick",Canada,CA,-64.8915503,46.023277
"Colwood, British Columbia",Canada,CA,-123.518115,48.398057
"Washington, USA",United States,US,-124.848975,45.543542
"Michigan, USA",United States,US,-90.4181075,41.696088
"Washington, USA",United States,US,-124.848975,45.543542
"Austin, TX",United States,US,-97.928935,30.127892
"Omaha, NE",United States,US,-96.234587,41.175884
"Berkeley, CA",United States,US,-122.324818,37.8459532
"Baltimore, MD",United States,US,-76.7115205,39.197211
"Tacoma, WA",United States,US,-122.5622146,47.166863
"Oklahoma, USA",United States,US,-103.0026515,33.615765
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Oslo, Norway",Norway,NO,10.4914682,59.8097794
Four Points by Sheraton London,Canada,CA,-81.2190967798233,42.9304146663683
Utah State Capitol,United States,US,-111.88820958137512,40.77757608514464
"Okolona, KY",United States,US,-85.718687,38.08348
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
